"","x"
"530","AN URGENT APPEAL FROM A DOCTOR

(please share) "
"531","Reminder, you're still a Filipino. By this time, your rants does not matter, your political color does not matter. We should unite us one. "
"532","I admire how Metro Manila Mayors handle this situation.

"
"533","I'm not the ""expert"" about "
"534","Let's all be safe. Let's all pray together. May all our politicians/leaders set aside their differences and join hands in this time of uncertainty. <U+0001F64F> "
"535","My Family offered a rosary prayer tonight.
This is the only thing we can do right now. 
Prayers for PH, prayers for the World. <U+0001F64F><U+0001F3FB>
 "
"536","Filipino stupidity has risen to new heights. <U+0001F923><U+0001F923><U+0001F923>
"
"537","Do we support long term curtailing of movement and rights of individual agency to meet and organise? There's a fine line of proportionality and ceding personal freedoms "
"538","First, I do want to believe that govt experts have our best interests at heart in the approach they're taking. I have no clue how to manage a pandemic but these people have trained their whole life on making us safer. "
"539","wishing this will end soon.. "
"540","Some beautiful "
"541","Hey kids, TikTok is fun! But do you know what's better? Researching about the pandemic yourself and being informed about the situation.

"
"542","3 months ago, we we're all happy celebrating holidays.we were even excited in welcoming 2020. &amp; now here we are facing "
"543","JUST IN: As of Saturday evening,  111 confirmed cases of COVID19 in the Philippines according to DOH. 

Please be safe! From 98 to 111 realquick :--( "
"544","any update for the new 40+ positive patient! "
"545","In Uganda guns are part of coronavirus checkup <U+0001F1FA><U+0001F1EC><U+0001F923>look how safe is the officer holding the checkup machine <U+0001F60F> "
"546","it's saddens me to see that every time there's a calamity in our country, anti duterte's are very quick to judge, it's like they're waiting for this government to make mistakes, then they all celebrate <U+0001F60F>

It's just, it is not the right time to make hanash. Unity <U+0001F499>

"
"547","JUST IN: As of Saturday evening,  111 confirmed cases of COVID19 in the Philippines according to DOH. 

Please be safe! From 98 to 111 realquick :--( "
"548","For any staff including my colleagues who maybe working from home...

"
"549","I've been waiting to hear this announcement &amp; finally!!!! Better safe than sorry... Please continue to have a prayer brigade for everyone all over the world....
"
"550","I pray for everyone's safety &amp; for everyone to cooperate. If you have travel history from affected areas or if you think you don't feel well, do the self-quarantine. Let's be responsible. Let's help stop the spreading. Let's help save lives.
"
"551","Journalist goes undercover at ""wet markets"", where the Coronavirus start... "
"552","Pray "
"553","Japan Prime Minister Shinzo Abe says Tokyo Olympic Games will go ahead as planned in July, despite coronavirus concerns resulting in the postponement of sporting events "
"554","No yoga sessions while the metro is on community quarantine. "
"555","First Scottish C oronavirus death confirmed
An elderly patient who had tested positive for Covid-19 has died in a hospital in the Lothian area.

"
"556","Looking here, and there, inspiration I am down to find you, wherever you might be. <U+0001F440><U+0001F9D0><U+0001F914> 
Books? Poems? Songs? Literature?let me gaze upon your beauty, wasting my time on finding you will always be worth it! 
"
"557","Yes i do the cooking
Yes i do the cleaning...
yes team bahay is shaking <U+0001F644><U+0001F625><U+0001F601>
"
"558","Taking advantage of community quarantine by learning and finishing "
"559","Keep safe everyone. Always wash your hands and observe proper hygiene.

PS: my hands feel so dry already <U+0001F605><U+0001F44D><U+0001F3FB>
"
"560","Lord, tonight as we go into a Metro Manila lockdown, I ask that you stretch out your mighty hands that your power is stronger than any virus. We ask for your healing power and protective grace and mercy be in control of this situation. Amen.<U+0001F64F><U+0001F64F><U+0001F64F>

"
"561","Good read. Filipinos! Please read. If we want to end this, let’s comply now before it’s too late. "
"562","Hope sooo.... Let your will be done <U+0001F64F><U+0001F64F><U+0001F64F> "
"563","covid-19 please stop your world tour "
"564","2016: Russia meddles in the presidential election to sway voters
2020: boomers being removed from the voter pool by "
"565","WHAT WE NEED IS A DECENT HEALTHCARE SYSTEM! PROVIDE MORE FUNDS FOR HOSPITALS! COME UP WITH A TEMPORARY SOLUTION FOR THE WORKING CLASS!!!!! "
"566","I just took a NAP and now we have 98 cases <U+0001F631> Mahal kong Pilipinas <U+0001F1F5><U+0001F1ED> <U+0001F62D><U+0001F62D><U+0001F62D>

Why???!!!!! <U+0001F62D>

Please! Let's give our full COOPERATION to our government!

Let's fully TRUST them!

<U+0001F62D><U+0001F62D><U+0001F62D><U+0001F637><U+0001F637>

"
"567","Prevention is better than cure.  <U+0001F590><U+FE0F> <U+0001F4A6> <U+0001F1F5><U+0001F1ED>

"
"568","Please please request them to do self quarantine. If the outbreak reaches the provinces, the whole Philippines would be in great trouble: NO respirators, NO ICUs, NO PPEs for health care personnel. "
"569","A circulating plea, supposed to be from a doctor. I completely share in the plea:

AN URGENT APPEAL FROM A DOCTOR

“This is my humble plea: if you have friends, relatives etc who rushed to the provinces starting Thursday night. "
"570","It's the civic and moral duty of every person, everywhere, to take part in the global effort to reduce this threat to humanity.” "
"571","Hi, Just in case no one say goodnight to you, goodnight and sleep well then. Keep safe! I love you! "
"572","This time, what we have to do is to pray and have faith because prayer is very powerful. 
"
"573","Guys be aware! 
Instead of making TikTok videos or anything, please be cooperative. 
All of this is for US, for the sake of ALL. 
We should not blame the gov't and the administration. 
Nandyan na yan eh, just follow them and RESPECT. 
"
"574","Stay at home less travel because some assholes like him on the street and trains near you "
"575","Filipino health workers are so underappreciated in their own country, and then we'd wonder why our own hospitals are short of competent staffs. 

"
"576","WTF!! Give them protection! Are we going to wait for ALL healthworkers to be PUIs?? Don't hoard medical supplies! "
"577","Hello po BIR, can we have the option to allocate portion of our tax paid to certain organizations? I'd like to allocate portion of my tax for UP Medical Foundation. "
"578","For a country with so many nurses, kulang kulang staff sa hospitals. Nasa abroad lahat. If only the government give high importance to our healthcare system and our professionals, perhaps ours would be one of the best in the world. "
"579","Thank you to all especially the frontliners <U+0001F64F><U+0001F3FB><U+0001F64F><U+0001F3FB><U+0001F64F><U+0001F3FB> "
"580","I'm not ready for this <U+0001F622>
"
"581","Lord, please help us all become safe every second. "
"582","keep safe everyone... "
"583","Please stay indoors everyone.<U+0001F64F> "
"584","I hope other LGU's will follow this action and prioritize the safety of its constituents especially the elderly.
"
"585","And just like that... "
"586","Take care and be safe everyone! Good night! <U+0001F495>

"
"587","Some people over share "
"588","From 64 to  98 and additional 13 new confirmed cases today: DOH declares a 111  total cases of COVID-19 patients in the Philippines. This is the highest spike of COVID-19 cases in PH in just a day. "
"589","Omggggg, new case 111 in the Philippines "
"590","Keep safe everyone<U+2764>
"
"591","Right now, when we must keep our physical distance from one another—reaching out to support others has never been more important.

Here are some simple ways we can all make a difference for the most vulnerable among us. "
"592","<U+0001F4CD>How it goes Viral <U+0001F4CD>

<U+0001F198><U+0001F198>Every one please stay alert <U+0001F198><U+0001F198>

"
"593","For the Commuters, a reminder! Please spread! Photo by: Buhay South "
"594","How I wish this is just a dream 
"
"595","Let us pray for everyone's safety <U+0001F625> "
"596","If only the budget on intelligence is being used on being ""intelligent"" about "
"597","Yes let's all cooperate <U+0001F4AA><U+0001F64F>"
"598","Please everyone let us cooperate sa community quarantine. If you don’t have important things to do outside stay at home nalang. Konting tiis lang matatapos din to.<U+0001F64F><U+0001F3FC> "
"599","We are secured in God's protection..
Prayer is the key <U+0001F5DD><U+FE0F><U+0001F64F>
"
